epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,275.815,0.76486,1.10101,0.96715,1.0756,0.83561,0.9108,0.95344,0.72513,0.83561,0.9108,0.95344,0.65614,1.02759,2.40555,1.00714,1.32387,0.000764086,0.000764086,0.000764086
49,281.595,0.77686,1.12324,0.94941,1.07796,0.80938,0.86986,0.93756,0.70275,0.80938,0.86986,0.93756,0.6497,1.17808,2.81406,0.98237,1.42924,0.000749939,0.000749939,0.000749939
50,287.247,0.75956,1.06554,0.82528,1.05517,0.86188,0.90476,0.92239,0.66677,0.86188,0.90476,0.92239,0.63176,1.14279,2.83707,1.03967,1.37539,0.000735792,0.000735792,0.000735792
51,292.779,0.69204,1.08881,0.68236,1.00817,0.8977,0.89051,0.9221,0.67253,0.8977,0.89051,0.9164,0.6527,1.03542,2.71258,0.99739,1.30077,0.000721645,0.000721645,0.000721645
52,298.411,0.67868,0.99876,0.74837,0.9956,0.92487,0.88964,0.97796,0.68159,0.92487,0.88964,0.93441,0.66071,1.17472,2.3126,0.85381,1.47117,0.000707498,0.000707498,0.000707498
53,304.088,0.79336,1.12611,0.92173,1.049,0.97416,0.94109,0.98463,0.68863,0.95753,0.8972,0.93455,0.67255,1.14994,2.34545,0.7185,1.51446,0.000693351,0.000693351,0.000693351
54,309.776,0.71235,1.20417,0.83941,1.03297,0.88386,0.9261,0.97167,0.6873,0.92159,0.85697,0.9232,0.62844,1.12094,2.4733,0.75845,1.52129,0.000679204,0.000679204,0.000679204
55,315.413,0.65659,1.05897,0.79695,0.99069,0.8219,0.91611,0.9647,0.78661,0.8219,0.91611,0.9647,0.72707,0.90904,2.02153,0.75754,1.24817,0.000665057,0.000665057,0.000665057
56,320.635,0.69887,1.04248,0.69468,1.01897,0.87929,0.94447,0.97433,0.8018,0.87929,0.94447,0.97433,0.7359,0.89346,1.92862,0.75974,1.25406,0.000650909,0.000650909,0.000650909
57,326.467,0.67587,0.98939,0.75758,0.99784,0.79866,0.96642,0.97796,0.78471,0.79866,0.96642,0.97796,0.70616,0.88972,1.86471,0.78235,1.17924,0.000636762,0.000636762,0.000636762
58,332.053,0.66887,1.05869,0.69251,1.00383,0.87323,1,0.98917,0.78465,0.87323,1,0.98917,0.70729,0.8553,1.88748,0.7842,1.14459,0.000622615,0.000622615,0.000622615
59,337.722,0.6278,0.95729,0.65637,0.97627,0.88182,1,0.98333,0.7476,0.88182,1,0.98333,0.71634,0.88275,1.80339,0.72275,1.14396,0.000608468,0.000608468,0.000608468
60,343.548,0.71065,0.93657,0.7298,1.00657,0.98111,0.97078,0.995,0.79477,0.98111,0.97078,0.995,0.75137,0.8886,1.82299,0.61145,1.15192,0.000594321,0.000594321,0.000594321
61,349.512,0.71078,1.09374,0.69582,1.02657,0.88425,1,0.97833,0.81163,0.88425,1,0.97833,0.76919,0.90958,1.75176,0.63725,1.14985,0.000580174,0.000580174,0.000580174
62,355.051,0.64257,0.97134,0.67614,0.99161,0.846,0.98342,0.96167,0.76787,0.846,0.98342,0.96167,0.76012,0.91989,1.65903,0.65607,1.1688,0.000566027,0.000566027,0.000566027
63,361.107,0.6381,0.95296,0.60486,0.96242,0.93042,0.87717,0.95333,0.72647,0.93042,0.87717,0.95333,0.73219,0.91155,1.51092,0.66815,1.19232,0.00055188,0.00055188,0.00055188
64,366.717,0.64667,0.97923,0.65314,0.99539,0.96413,0.91392,0.995,0.75693,0.96413,0.91392,0.995,0.78228,0.87419,1.52094,0.59358,1.14742,0.000537733,0.000537733,0.000537733
65,372.486,0.62192,0.93444,0.66244,0.97522,0.9545,0.93841,0.981,0.76667,0.9545,0.93841,0.981,0.76873,0.89698,1.62901,0.61162,1.1707,0.000523586,0.000523586,0.000523586
66,378.356,0.66515,0.93421,0.61445,1.00013,0.9477,0.93816,0.97803,0.76781,0.9477,0.93816,0.97803,0.75454,0.90516,1.74718,0.59809,1.22893,0.000509438,0.000509438,0.000509438
67,383.757,0.69791,1.08613,0.67024,1.04091,0.95004,0.90476,0.97426,0.7788,0.95004,0.90476,0.97426,0.73434,0.90542,1.86678,0.61407,1.2423,0.000495291,0.000495291,0.000495291
68,389.965,0.62872,0.92712,0.59232,0.96527,0.86928,0.91571,0.96767,0.75447,0.86928,0.91571,0.96767,0.69714,0.93053,2.1141,0.62766,1.26357,0.000481144,0.000481144,0.000481144
69,395.533,0.64303,0.9573,0.62166,1.01208,0.9116,0.88859,0.96344,0.73511,0.9116,0.88859,0.96344,0.69965,0.93064,2.0963,0.70117,1.25607,0.000466997,0.000466997,0.000466997
70,400.781,0.5675,0.94067,0.53023,0.94929,0.87845,0.89795,0.9613,0.70356,0.87845,0.89795,0.9613,0.69315,0.95474,1.97887,0.86187,1.26041,0.00045285,0.00045285,0.00045285
71,406.66,0.61391,0.89271,0.55254,0.98426,0.88924,0.97811,0.96167,0.67976,0.88924,0.97811,0.96167,0.71856,1.00536,1.87404,0.83769,1.29045,0.000438703,0.000438703,0.000438703
72,411.831,0.56636,0.90595,0.55337,0.95302,0.88973,0.96857,0.97833,0.72801,0.88973,0.96857,0.97833,0.74793,0.9765,1.832,0.73835,1.27135,0.000424556,0.000424556,0.000424556
73,417.259,0.62939,0.97647,0.64198,0.99238,0.91513,0.94643,0.981,0.70228,0.91513,0.94643,0.981,0.69414,1.04106,2.17683,0.70519,1.3412,0.000410409,0.000410409,0.000410409
74,423.081,0.63993,0.96695,0.61279,0.97944,0.91645,0.9348,0.981,0.72666,0.91645,0.9348,0.981,0.69022,1.04589,2.25397,0.7043,1.38024,0.000396262,0.000396262,0.000396262
75,428.398,0.57232,0.86682,0.56799,0.94978,0.88842,0.95238,0.95679,0.7037,0.88842,0.95238,0.95679,0.72463,0.99324,2.21611,0.73151,1.32001,0.000382115,0.000382115,0.000382115
76,434.27,0.53735,0.8647,0.51869,0.955,0.90465,0.90315,0.91679,0.71439,0.90465,0.90315,0.91679,0.68634,0.99733,2.20306,0.79468,1.28291,0.000367967,0.000367967,0.000367967
77,439.7,0.64718,1.01137,0.64842,1.01242,0.81914,0.90476,0.88346,0.66681,0.81914,0.90476,0.88346,0.66938,1.01153,2.22618,0.87912,1.29691,0.00035382,0.00035382,0.00035382
78,445.306,0.56194,0.86674,0.51464,0.93287,0.70374,0.93536,0.85217,0.6799,0.70374,0.93536,0.85217,0.64521,1.0312,2.21485,0.95828,1.32527,0.000339673,0.000339673,0.000339673
79,450.759,0.57265,0.85006,0.5856,0.96957,0.76038,0.94614,0.86441,0.68633,0.76038,0.94614,0.86441,0.65634,1.03007,2.21867,0.86359,1.36363,0.000325526,0.000325526,0.000325526
80,456.118,0.53272,0.81928,0.59506,0.95965,0.75312,0.95238,0.93402,0.73362,0.75312,0.95238,0.93402,0.71221,0.98737,2.25632,0.73195,1.32229,0.000311379,0.000311379,0.000311379
81,461.58,0.54669,0.91026,0.57122,0.94918,0.97961,0.8451,0.95028,0.74301,0.97961,0.8451,0.95028,0.72273,0.91537,2.23791,0.80643,1.23682,0.000297232,0.000297232,0.000297232
82,467.086,0.52388,0.84452,0.49305,0.94656,0.97538,0.83622,0.94639,0.76811,0.97538,0.83622,0.94639,0.73637,0.86803,2.21201,0.80215,1.20791,0.000283085,0.000283085,0.000283085
83,472.633,0.50014,0.85593,0.44761,0.91891,0.96492,0.83707,0.94452,0.78151,0.96492,0.83707,0.94452,0.73108,0.84441,2.21865,0.79972,1.20136,0.000268938,0.000268938,0.000268938
84,478.153,0.55333,0.82438,0.51837,0.91633,0.94498,0.84206,0.92729,0.76124,0.94498,0.84206,0.92729,0.73605,0.86975,2.28201,0.88494,1.22063,0.000254791,0.000254791,0.000254791
85,483.478,0.55898,0.91176,0.50765,0.94287,0.92653,0.84392,0.9285,0.72966,0.92653,0.84392,0.9285,0.74507,0.8774,2.27765,0.92791,1.21457,0.000240644,0.000240644,0.000240644
86,488.848,0.53205,0.8689,0.48665,0.95382,0.95115,0.84459,0.92834,0.70423,0.95115,0.84459,0.92834,0.73596,0.90236,2.24657,0.94035,1.2262,0.000226497,0.000226497,0.000226497
87,494.352,0.56182,0.82666,0.50538,0.94795,0.84873,0.8583,0.92827,0.72197,0.84873,0.8583,0.92827,0.73227,0.91378,2.09572,0.78652,1.22837,0.000212349,0.000212349,0.000212349
88,499.915,0.52024,0.77065,0.52192,0.94724,0.91826,0.84824,0.94909,0.74408,0.91826,0.84824,0.94909,0.74947,0.91921,2.07006,0.75454,1.24778,0.000198202,0.000198202,0.000198202
89,505.375,0.57564,0.90037,0.57036,0.9799,0.879,0.90727,0.9522,0.75453,0.879,0.90727,0.9522,0.7626,0.89918,1.99362,0.71305,1.25077,0.000184055,0.000184055,0.000184055
90,510.51,0.51504,0.86916,0.44279,0.93318,0.90827,0.90245,0.9522,0.75916,0.90827,0.90245,0.9522,0.76533,0.8896,2.00915,0.67567,1.23081,0.000169908,0.000169908,0.000169908
91,516.116,0.44706,0.76705,0.5178,0.87046,0.91683,0.89814,0.95671,0.76523,0.91683,0.89814,0.95671,0.76099,0.87996,2.0765,0.67929,1.22132,0.000155761,0.000155761,0.000155761
92,521.271,0.44107,0.75841,0.456,0.88495,0.92904,0.89858,0.95741,0.76478,0.92904,0.89858,0.95096,0.75136,0.89903,2.24678,0.68558,1.22407,0.000141614,0.000141614,0.000141614
93,526.738,0.4527,0.73669,0.42232,0.86651,0.9073,0.90024,0.9563,0.76292,0.9073,0.90024,0.95091,0.75134,0.90998,2.27595,0.70665,1.22583,0.000127467,0.000127467,0.000127467
94,531.875,0.43425,0.69229,0.41669,0.86388,0.88001,0.90562,0.94926,0.75131,0.88001,0.90562,0.94449,0.74599,0.91717,2.29674,0.72197,1.23101,0.00011332,0.00011332,0.00011332
95,537.288,0.43656,0.76898,0.37493,0.85528,0.88994,0.90319,0.9312,0.73987,0.88994,0.90319,0.9312,0.73328,0.92512,2.27416,0.75516,1.23868,9.91726e-05,9.91726e-05,9.91726e-05
96,542.682,0.45188,0.74235,0.40223,0.87663,0.86857,0.86905,0.91487,0.73695,0.86857,0.86905,0.91487,0.72197,0.93048,2.3061,0.7661,1.23956,8.50255e-05,8.50255e-05,8.50255e-05
97,547.74,0.41784,0.67837,0.5552,0.86495,0.86321,0.86905,0.91578,0.71392,0.86321,0.86905,0.91578,0.72869,0.94119,2.34724,0.76182,1.24696,7.08784e-05,7.08784e-05,7.08784e-05
98,553.136,0.41728,0.70307,0.40361,0.87778,0.89248,0.89839,0.93293,0.73544,0.89248,0.89839,0.93293,0.72788,0.94164,2.3441,0.75806,1.24836,5.67313e-05,5.67313e-05,5.67313e-05
99,558.428,0.39196,0.67363,0.3542,0.85806,0.87242,0.86905,0.92399,0.7281,0.87242,0.86905,0.92399,0.7307,0.9421,2.35939,0.76528,1.24852,4.25842e-05,4.25842e-05,4.25842e-05
100,563.732,0.43019,0.73952,0.41154,0.87971,0.87434,0.86905,0.93318,0.74272,0.87434,0.86905,0.93318,0.74083,0.93847,2.3379,0.75744,1.25437,2.84371e-05,2.84371e-05,2.84371e-05
